Gene,T1,T2,T3,T4,T5
THEMIS,0,0,0,0.024919009,0
THEMIS2,-0.002320796,0.282876312,0.046938441,0.423245695,0.063770141
THG1L,0.069273981,-0.090347908,-0.147783505,-0.01621997,-0.086686714
THNSL1,0,0,0,0.021915487,0
THNSL2,0,0,0,0,0
THOC1,-0.031895904,-0.111753654,0.037216053,-0.001254094,-0.215291315
THOC2,0.09040796,-0.315059036,-0.198541319,-0.037662801,-0.146502961
THOC3,0.097899007,0.111169811,0.15601201,0.026328001,-0.00438645
THOC5,0.086500333,0.057425521,-0.081393936,-0.105088834,-0.077595765
THOC6,0.307167743,0.221996517,0.011840561,-0.04885096,-0.135591868
THOC7,0.419095803,0.520384983,-0.507898389,-0.534696388,-0.692931414
THOP1,0.332426966,0.335180074,0.13456082,0.083874081,0.050684265
THRA,0.049700679,0.435482329,-0.01014914,0.055030733,-0.003221259
THRAP3,-0.305927775,0.273912004,0.169524998,0.304514147,-0.649322649
THRB,0,0,0.05383112,0.0085956,0
THSD1,-0.240364147,-0.240364147,-0.240364147,-0.231546725,-0.240364147
THSD7A,0,0,0,0,0
THTPA,0.007897436,-0.03003627,-0.03003627,-0.03003627,-0.023230231
THUMPD1,-0.040254339,0.68403175,0.249179212,0.329173066,-0.077659416
THUMPD2,-0.048332501,0.101423628,0.08997974,0.033859414,-0.314766468
THUMPD3,0.08149173,-0.074820316,0.010694685,0.239573921,-0.050356669
THUMPD3-AS1,0.093024411,0.197473002,-0.140323863,-0.167226625,-0.562113415
THY1,0,0,0,0,0
THYN1,0.109844568,0.050075676,-0.357606892,-0.196196363,-0.224213528
TIA1,0.173033503,0.682479251,0.21854006,0.065257276,-0.088358091
TIAF1,0,0,0.03583852,0,0
TIAL1,0.081306114,-0.060548628,-0.084706863,0.054718137,-0.152346209
TIAM1,0,0.066848572,0,0.018565466,0.032176051
TIAM2,0,0,0,0.0085956,0.310501724
TICAM1,-0.033637051,-0.033637051,0.03586373,-0.002955064,0.154725715
TICAM2,0,0,0,0,0
TICRR,0,0,0,0,0
TIE1,0,0,0,0,0
TIFA,0.15581671,0.563616261,0.253986667,0.212295214,0.575113101
TIFAB,0,0,0,0,0
TIGAR,-0.25875638,0.231237742,-0.205021407,-0.132473009,-0.262383345
TIGD1,-0.04749886,0.009936738,0.080544297,0.077135548,-0.0112901
TIGD2,0.0552764,0,0,0,0
TIGD3,0,0,0,0.040679383,0.042513808
TIGD4,0,0,0,0,0
TIGD5,-0.025845083,-0.04938851,-0.004273124,0.0021711,-0.04938851
TIGD6,0,0,0.041494787,0,0
TIGD7,0,0,0.147740821,0,0
TIGIT,0,0,0.027601665,0.015000583,0.100461518
TIMD4,0,0,0.046559861,0,0
TIMELESS,0.175080724,0.411356898,0.082321955,0,0
TIMM10,0.271429074,0.34458445,0.155897814,0.099324597,0.023577912
TIMM10B,0.008149656,0.060159125,0.213486665,0.087932845,-0.021983201
TIMM13,0.583010742,-0.326967216,-0.674321571,-0.66744509,-0.50137365
TIMM17A,0.023418829,0.996723866,0.421104951,0.189152543,0.02684908
TIMM17B,0.106695676,-0.099635138,0.200503067,0.143184307,0.259355927
TIMM21,-0.018777836,-0.047691223,0.002402169,-0.010099636,-0.031935204
TIMM22,-0.051145408,0.255985653,-0.064165266,0.196306146,0.0425252
TIMM23,-0.176557511,-0.254584449,-0.071267938,-0.083381465,-0.169495201
TIMM23B,-0.022629799,0.567013281,-0.009202679,0.067413989,-0.153212612
TIMM44,-0.032228974,-0.279318008,-0.297629472,-0.077979629,-0.301590075
TIMM50,0.243658193,0.118532888,-0.063908785,0.007090062,-0.048394953
TIMM8A,0.047675342,-0.099059741,-0.099059741,-0.040648141,-0.099059741
TIMM8B,0.483583568,0.506939427,-0.134657602,-0.047108594,-0.1676457
TIMM9,-0.012166484,-0.168121753,-0.226099368,-0.235665935,-0.41089554
TIMMDC1,0.166398526,-0.047663647,-0.047663647,-0.010268609,0.059396696
TIMP1,-0.115799512,-0.204418855,-0.341746775,-0.376249965,0.6693253
TIMP2,-0.003144523,-0.03003627,0.090106451,0.01331512,0.157366916
TIMP3,0,0,0,0,0
TIMP4,0,0,0,0,0
TINAGL1,0,0,0,0,0
TINCR,0,0,0.038428029,0,0
TINF2,-0.13189286,0.126816151,0.148149842,0.026677018,-0.1730994
TIPARP,-0.063638203,-0.080534145,0.051624726,0.062569019,-0.07548692
TIPARP-AS1,-0.211061456,-0.256474671,-0.231897695,-0.234166073,-0.256474671
TIPIN,0.119016502,0.14554871,0.016321141,0.200061167,0.02748254
TIPRL,0.237501872,-0.260704781,0.200966026,0.049680837,-0.1598423
TIRAP,0.044801951,0,0,0.027188213,0
TISP43,0,0,0,0,0
TJAP1,0.003794664,-0.033462281,0.00544771,0.027679923,0.109291093
TJP1,-0.44634261,-0.44634261,-0.44634261,-0.44634261,-0.392611544
TJP2,-0.039493195,-0.039493195,0.035140322,-0.039493195,-0.032105578
TJP3,0,0,0,0.017830824,0
TK1,0.755629206,0.658678447,-0.033637051,0.017716892,-0.033637051
